"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
1,1,1,1,0,1,1,0,1,5,0,0,3,277,0,1,6,0,3,NA,367
1,1,1,1,0,1,1,0,1,3,0,0,56,162,0,0,4,0,0,NA,367
1,1,1,1,0,1,1,0,1,2,0,0,0,248,0,0,12,0,0,NA,367
1,1,1,1,0,1,1,1,1,4,0,0,41,161,0,0,0,16,12,NA,495
1,1,1,1,0,1,1,1,1,4,0,0,21,140,0,0,0,8,1,NA,495
1,1,1,1,0,1,1,1,1,4,0,0,15,193,0,0,0,3,2,NA,495
1,1,1,1,1,1,0,1,0,4,0,0,6,185,67,0,0,1,0,NA,191
1,1,1,1,1,1,0,1,0,4,0,0,11,119,139,0,0,19,0,NA,191
1,1,1,1,1,1,0,1,0,4,0,0,24,99,104,0,0,1,0,NA,191
1,1,1,1,1,1,1,0,1,3,0,0,18,84,98,0,0,0,0,NA,383
1,1,1,1,1,1,1,0,1,4,0,0,31,115,102,0,0,0,4,NA,383
1,1,1,1,1,1,1,0,1,4,0,0,13,142,130,0,1,0,0,NA,383
